state,city,url
TX,Abilene,https://abilene.craigslist.org
OH,Akron / Canton,https://akroncanton.craigslist.org
GA,Albany,https://albanyga.craigslist.org
NY,Albany,https://albany.craigslist.org
NM,Albuquerque,https://albuquerque.craigslist.org
PA,Altoona-Johnstown,https://altoona.craigslist.org
TX,Amarillo,https://amarillo.craigslist.org
IA,Ames,https://ames.craigslist.org
AK,Anchorage / Mat-Su,https://anchorage.craigslist.org
MD,Annapolis,https://annapolis.craigslist.org
MI,Ann Arbor,https://annarbor.craigslist.org
WI,Appleton-Oshkosh-Fdl,https://appleton.craigslist.org
NC,Asheville,https://asheville.craigslist.org
OH,Ashtabula,https://ashtabula.craigslist.org
GA,Athens,https://athensga.craigslist.org
OH,Athens,https://athensohio.craigslist.org
GA,Atlanta,https://atlanta.craigslist.org
AL,Auburn,https://auburn.craigslist.org
GA,Augusta,https://augusta.craigslist.org
TX,Austin,https://austin.craigslist.org
CA,Bakersfield,https://bakersfield.craigslist.org
MD,Baltimore,https://baltimore.craigslist.org
LA,Baton Rouge,https://batonrouge.craigslist.org
MI,Battle Creek,https://battlecreek.craigslist.org
TX,Beaumont / Port Arthur,https://beaumont.craigslist.org
WA,Bellingham,https://bellingham.craigslist.org
MN,Bemidji,https://bemidji.craigslist.org
OR,Bend,https://bend.craigslist.org
MT,Billings,https://billings.craigslist.org
NY,Binghamton,https://binghamton.craigslist.org
AL,Birmingham,https://bham.craigslist.org
ND,Bismarck,https://bismarck.craigslist.org
IN,Bloomington,https://bloomington.craigslist.org
IL,Bloomington-Normal,https://bn.craigslist.org
ID,Boise,https://boise.craigslist.org
NC,Boone,https://boone.craigslist.org
MA,"Boston  - Includes Merrimack Valley, Metro West, North Shore, South Shore",https://boston.craigslist.org
CO,Boulder,https://boulder.craigslist.org
KY,Bowling Green,https://bgky.craigslist.org
MT,Bozeman,https://bozeman.craigslist.org
MN,Brainerd,https://brainerd.craigslist.org
TX,Brownsville,https://brownsville.craigslist.org
GA,Brunswick,https://brunswick.craigslist.org
NY,Buffalo,https://buffalo.craigslist.org
MT,Butte,https://butte.craigslist.org
MA,Cape Cod / Islands,https://capecod.craigslist.org
NY,Catskills,https://catskills.craigslist.org
IA,Cedar Rapids,https://cedarrapids.craigslist.org
LA,Central Louisiana,https://cenla.craigslist.org
MI,Central Michigan,https://centralmich.craigslist.org
NJ,Central Nj,https://cnj.craigslist.org
IL,Champaign Urbana,https://chambana.craigslist.org
SC,Charleston,https://charleston.craigslist.org
WV,Charleston,https://charlestonwv.craigslist.org
NC,Charlotte,https://charlotte.craigslist.org
VA,Charlottesville,https://charlottesville.craigslist.org
TN,Chattanooga,https://chattanooga.craigslist.org
NY,Chautauqua,https://chautauqua.craigslist.org
IL,Chicago,https://chicago.craigslist.org
CA,Chico,https://chico.craigslist.org
OH,Chillicothe,https://chillicothe.craigslist.org
OH,Cincinnati,https://cincinnati.craigslist.org
TN,Clarksville,https://clarksville.craigslist.org
OH,Cleveland,https://cleveland.craigslist.org
NM,Clovis / Portales,https://clovis.craigslist.org
TX,College Station,https://collegestation.craigslist.org
CO,Colorado Springs,https://cosprings.craigslist.org
MO,Columbia / Jeff City,https://columbiamo.craigslist.org
SC,Columbia,https://columbia.craigslist.org
GA,Columbus,https://columbusga.craigslist.org
OH,Columbus,https://columbus.craigslist.org
TN,Cookeville,https://cookeville.craigslist.org
TX,Corpus Christi,https://corpuschristi.craigslist.org
OR,Corvallis/Albany,https://corvallis.craigslist.org
PA,Cumberland Valley,https://chambersburg.craigslist.org
TX,Dallas / Fort Worth,https://dallas.craigslist.org
VA,Danville,https://danville.craigslist.org
FL,Daytona Beach,https://daytona.craigslist.org
OR,Dayton / Springfield,https://dayton.craigslist.org
IL,Decatur,https://decatur.craigslist.org
TX,Deep East Texas,https://nacogdoches.craigslist.org
OH,Delaware,https://delaware.craigslist.org
TX,Del Rio / Eagle Pass,https://delrio.craigslist.org
CO,Denver,https://denver.craigslist.org
IA,Des Moines,https://desmoines.craigslist.org
MI,Detroit Metro,https://detroit.craigslist.org
AL,Dothan,https://dothan.craigslist.org
